Profile Name,Source,Navigation Level,Referrer Url,Webpage Url,Click Utc Ts
Mamãe,tvui,playback,,,2021-03-31 14:14:09
Mamãe,tvui,playback,,,2021-03-31 14:13:47
Mamãe,tvui,postPlay,,,2021-03-31 14:13:47
Mamãe,tvui,movieDetails,,,2021-03-31 13:49:02
Mamãe,tvui,playback,,,2021-03-31 13:49:02
Mamãe,tvui,browseTitles,,,2021-03-31 13:48:57
Mamãe,tvui,movieDetails,,,2021-03-31 13:48:57
Mamãe,tvui,profilesGate,,,2021-03-31 13:48:11
Mamãe,tvui,browseTitles,,,2021-03-31 13:48:11
Mamãe,tvui,postPlay,,,2021-03-31 01:48:11
Mamãe,tvui,playback,,,2021-03-31 01:48:11
Mamãe,tvui,playback,,,2021-03-31 01:47:49
Mamãe,tvui,postPlay,,,2021-03-31 01:47:49
Mamãe,tvui,postPlay,,,2021-03-31 00:49:32
Mamãe,tvui,playback,,,2021-03-31 00:49:32
Mamãe,tvui,playback,,,2021-03-31 00:49:11
Mamãe,tvui,postPlay,,,2021-03-31 00:49:11
Mamãe,tvui,postPlay,,,2021-03-31 00:09:56
Mamãe,tvui,playback,,,2021-03-31 00:09:56
Mamãe,tvui,playback,,,2021-03-31 00:09:34
Mamãe,tvui,postPlay,,,2021-03-31 00:09:34
Mamãe,tvui,postPlay,,,2021-03-30 23:34:41
Mamãe,tvui,playback,,,2021-03-30 23:34:41
Mamãe,tvui,playback,,,2021-03-30 23:34:20
Mamãe,tvui,postPlay,,,2021-03-30 23:34:20
Mamãe,tvui,postPlay,,,2021-03-30 22:29:02
Mamãe,tvui,playback,,,2021-03-30 22:29:02
Mamãe,tvui,playback,,,2021-03-30 22:28:41
Mamãe,tvui,postPlay,,,2021-03-30 22:28:41
Mamãe,tvui,exitDialog,,,2021-03-30 22:13:58
Mamãe,tvui,playback,,,2021-03-30 22:13:58
Mamãe,tvui,playback,,,2021-03-30 22:13:52
Mamãe,tvui,exitDialog,,,2021-03-30 22:13:52
Mamãe,tvui,postPlay,,,2021-03-30 22:05:31
Mamãe,tvui,playback,,,2021-03-30 22:05:31
Mamãe,tvui,playback,,,2021-03-30 22:05:09
Mamãe,tvui,postPlay,,,2021-03-30 22:05:09
Mamãe,tvui,postPlay,,,2021-03-30 21:57:25
Mamãe,tvui,playback,,,2021-03-30 21:57:25
Mamãe,tvui,playback,,,2021-03-30 21:57:03
Mamãe,tvui,postPlay,,,2021-03-30 21:57:03
Mamãe,tvui,postPlay,,,2021-03-30 21:37:59
Mamãe,tvui,playback,,,2021-03-30 21:37:59
Mamãe,tvui,playback,,,2021-03-30 21:37:37
Mamãe,tvui,postPlay,,,2021-03-30 21:37:37
Mamãe,tvui,postPlay,,,2021-03-30 21:24:01
Mamãe,tvui,playback,,,2021-03-30 21:24:01
Mamãe,tvui,playback,,,2021-03-30 21:23:39
Mamãe,tvui,postPlay,,,2021-03-30 21:23:39
Mamãe,tvui,movieDetails,,,2021-03-30 20:49:13
Mamãe,tvui,playback,,,2021-03-30 20:49:13
Mamãe,tvui,browseTitles,,,2021-03-30 20:49:08
Mamãe,tvui,movieDetails,,,2021-03-30 20:49:08
Mamãe,tvui,profilesGate,,,2021-03-30 20:48:24
Mamãe,tvui,browseTitles,,,2021-03-30 20:48:24
Mamãe,tvui,postPlay,,,2021-03-30 19:42:16
Mamãe,tvui,playback,,,2021-03-30 19:42:16
Mamãe,tvui,playback,,,2021-03-30 19:41:54
Mamãe,tvui,postPlay,,,2021-03-30 19:41:54
Mamãe,tvui,postPlay,,,2021-03-30 18:53:47
Mamãe,tvui,playback,,,2021-03-30 18:53:47
Mamãe,tvui,playback,,,2021-03-30 18:53:26
Mamãe,tvui,postPlay,,,2021-03-30 18:53:26
Mamãe,tvui,postPlay,,,2021-03-30 18:14:13
Mamãe,tvui,playback,,,2021-03-30 18:14:13
Mamãe,tvui,playback,,,2021-03-30 18:13:51
Mamãe,tvui,postPlay,,,2021-03-30 18:13:51
Mamãe,tvui,movieDetails,,,2021-03-30 17:40:35
Mamãe,tvui,playback,,,2021-03-30 17:40:35
Mamãe,tvui,browseTitles,,,2021-03-30 17:40:32
Mamãe,tvui,movieDetails,,,2021-03-30 17:40:32
Mamãe,tvui,profilesGate,,,2021-03-30 17:40:25
Mamãe,tvui,browseTitles,,,2021-03-30 17:40:25
Mamãe,tvui,playback,,,2021-03-30 17:15:46
Mamãe,tvui,errorDialog,,,2021-03-30 17:15:46
Mamãe,tvui,movieDetails,,,2021-03-30 17:15:40
Mamãe,tvui,playback,,,2021-03-30 17:15:40
Mamãe,tvui,browseTitles,,,2021-03-30 17:15:36
Mamãe,tvui,movieDetails,,,2021-03-30 17:15:36
Mamãe,tvui,profilesGate,,,2021-03-30 17:15:28
Mamãe,tvui,browseTitles,,,2021-03-30 17:15:28
Mamãe,tvui,playback,,,2021-03-30 17:00:21
Mamãe,tvui,errorDialog,,,2021-03-30 17:00:21
Mamãe,tvui,movieDetails,,,2021-03-30 17:00:17
Mamãe,tvui,playback,,,2021-03-30 17:00:17
Mamãe,tvui,errorDialog,,,2021-03-30 16:59:54
Mamãe,tvui,movieDetails,,,2021-03-30 16:59:54
Mamãe,tvui,playback,,,2021-03-30 16:59:17
Mamãe,tvui,errorDialog,,,2021-03-30 16:59:17
Mamãe,tvui,movieDetails,,,2021-03-30 16:59:12
Mamãe,tvui,playback,,,2021-03-30 16:59:12
Mamãe,tvui,browseTitles,,,2021-03-30 16:59:07
Mamãe,tvui,movieDetails,,,2021-03-30 16:59:07
Mamãe,tvui,profilesGate,,,2021-03-30 16:58:52
Mamãe,tvui,browseTitles,,,2021-03-30 16:58:52
Mamãe,tvui,postPlay,,,2021-03-30 15:38:24
Mamãe,tvui,playback,,,2021-03-30 15:38:24
Mamãe,tvui,playback,,,2021-03-30 15:38:03
Mamãe,tvui,postPlay,,,2021-03-30 15:38:03
Mamãe,tvui,postPlay,,,2021-03-30 15:08:08
Mamãe,tvui,playback,,,2021-03-30 15:08:08
Mamãe,tvui,playback,,,2021-03-30 15:07:46
Mamãe,tvui,postPlay,,,2021-03-30 15:07:46
Mamãe,tvui,postPlay,,,2021-03-30 14:43:52
Mamãe,tvui,playback,,,2021-03-30 14:43:52
Mamãe,tvui,playback,,,2021-03-30 14:43:30
Mamãe,tvui,postPlay,,,2021-03-30 14:43:30
Mamãe,tvui,movieDetails,,,2021-03-30 14:14:15
Mamãe,tvui,playback,,,2021-03-30 14:14:15
Mamãe,tvui,browseTitles,,,2021-03-30 14:13:48
Mamãe,tvui,movieDetails,,,2021-03-30 14:13:48
Mamãe,tvui,profilesGate,,,2021-03-30 14:13:14
Mamãe,tvui,browseTitles,,,2021-03-30 14:13:14
Mamãe,tvui,postPlay,,,2021-03-30 00:17:21
Mamãe,tvui,playback,,,2021-03-30 00:17:21
Mamãe,tvui,playback,,,2021-03-30 00:17:00
Mamãe,tvui,postPlay,,,2021-03-30 00:17:00
Mamãe,tvui,postPlay,,,2021-03-29 23:27:32
Mamãe,tvui,playback,,,2021-03-29 23:27:32
Mamãe,tvui,playback,,,2021-03-29 23:27:10
Mamãe,tvui,postPlay,,,2021-03-29 23:27:10
Mamãe,tvui,postPlay,,,2021-03-29 22:40:02
Mamãe,tvui,playback,,,2021-03-29 22:40:02
Mamãe,tvui,playback,,,2021-03-29 22:39:40
Mamãe,tvui,postPlay,,,2021-03-29 22:39:40
Mamãe,tvui,postPlay,,,2021-03-29 22:04:31
Mamãe,tvui,playback,,,2021-03-29 22:04:31
Mamãe,tvui,playback,,,2021-03-29 22:04:09
Mamãe,tvui,postPlay,,,2021-03-29 22:04:09
Mamãe,tvui,movieDetails,,,2021-03-29 21:16:46
Mamãe,tvui,playback,,,2021-03-29 21:16:46
Mamãe,tvui,playback,,,2021-03-29 21:16:36
Mamãe,tvui,movieDetails,,,2021-03-29 21:16:36
Mamãe,tvui,movieDetails,,,2021-03-29 21:16:04
